RecordID,Year_Sort,Year,Month,Day,Circa,DatingNotes,Place,Diocese,Province,CountryModern,Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Latitude,Longitude,PlaceNotes,Classification,IssuingAuthority,IssuingAuthorityAlt,RegnalStart,RegnalEnd,Delegated,ClassificationNotes,Language,LanguageNotes,TextNeeded,NoKnownText,Fragment,Source,SourceOther,Edition,EditionOther,SourceNotes,TranscriptionNotes,BaseText,OCR,Transcription,GeneralNotes,BiblioRefs
21,1316,1316,,,,,Münster,Münster,Cologne,Germany,D541,,,51.962944,7.628694,,Diocesan,,,,,,,Latin,,,,,,,"Hartzheim IV, 251-54",,,In Process,GoogleBooksData Capture,,,,
22,1323,1323,10,18,,dated 1324 in Hartzheim,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Pierre de Lévis-Mirepoix,,1309,1324,,,Latin,,,,,"BnF lat 1592, fol. 27v-28v",,"Reusens, Statuta, 83-86","Hartzheim IV, 286-88; Gousset, APER II, 515-518",https://books.google.com/books?id=L9U-AAAAcAAJ,Reviewed ,GoogleBooksLibrary ScanDigital MSWebDownload,Yes,,,
23,1355,1355,5,13,,,Utrecht,Utrecht,Cologne,Netherlands,D543,,,52.083,5.1,,Diocesan,Jan van Arkel,,,,,,Latin,,,,,,,"Joosting, Bronnen, V, 140-41","Hartzheim IV, 378-80",,Reviewed ,Data Capture,,,,
25,1356,1356,,,,,Cologne,Cologne,Cologne,Germany,,,,50.94257,6.958976,,Provincial,,,,,,,Latin,,,,,,,"Hartzheim IV, 480-82",,https://books.google.com/books?id=kbNumdYKdrkC,In Process,GoogleBooksWebDownload,,,,
26,1370,1370,,,,,Magdeburg,Magdeburg,Magdeburg,Germany,,,,52.133333,11.616667,,Provincial,,,,,,,Latin,,,,,,,"Hartzheim IV, 411-27",,,In Process,GoogleBooksWebDownload,,,,
27,1371,1371,9,30,,,Cologne,Cologne,Cologne,Germany,D538,,,50.94257,6.958976,,Diocesan,Friedrich von Saarwerden,,,,,,Latin,,,,,"Stadtarchiv Aachen Hs. K Regulierherren Nr. 9 (olim Hs. 66), fols 43r-47v",,"Hartzheim IV, 498-507","Statuta et decreta provincialium (1544), S. 188-98",https://books.google.com/books?id=kbNumdYKdrkChttp://reader.digitale-sammlungen.de/resolve/display/bsb10141697.html,In Process,GoogleBooksWebDownloadDigital MS,,,"Lepper, Unbekannte, 339-56.",
28,1375,1375,3,12,,11-12 March,Bonn,Cologne,Cologne,Germany,,,,50.733889,7.099722,,Provincial,,,,,,,Latin,,,,,,,"Hartzheim IV, 516-22",,https://books.google.com/books?id=kbNumdYKdrkC,In Process,GoogleBooksWebDownload,,,,
29,1386,1386,1,25,,,Salzburg,Salzburg,Salzburg,Austria,,,,47.8025,13.045833,,Provincial,Pilgrim II of Pucheim,,1365,1396,,,Latin,,,,,,,"Dalham, Concilia, 160-66","Hartzheim, IV, 530-34",https://books.google.com/books?id=HmlNAAAAcAAJ,In Process,GoogleBooksWebDownload,Yes,,,
30,1283,1283,10,1,,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Enguerrand II de Créqui,,1274,1286,,,Latin,,,,,,,"Avril, Statuts, IV, 109-111","Boeren, Anciens statuts, III, 408-410",,Reviewed ,Hard Copy Scan,Yes,,,
31,1517,1517,,,,,Florence,Florence,Florence,Italy,,,,43.771667,11.253611,Archdiocese as of 1419.,Provincial,Giulio de' Medici,,1513,1523,,,Latin,,,,,,,"Mansi 35, 215-318",,,Not Started,GoogleBooksWebDownload,,,,
32,1292,1292-1295,,,Yes,"first redaction in 1292-1293, with additions and corrections in 1294-1295 (see Avril, Bourges, 210)",Mende,Mende,Bourges,France,D384,,,44.51944,3.50139,,Liber Synodalis,William Durand,Guglielmus Durantis,,,,Instructiones (first part of the text),Latin,,,,,,,"Avril, Bourges, 209-311","Instructions et constitutions de Guillaume Durand le Spéculateur publiées d’après le manuscrit de Cessenon. Eds. Jos. Berthelé and M. Valmary. Montpellier: Delord-Boehm et Martial, 1900. [=Mémoires de l’Académie des sciences et lettres de Montpellier, ser. 2, 3 (1905): 1-148.])",,Reviewed ,Hard Copy Scan,Yes,,,
33,1279,1279,,,,,Södertälje,Strängnäs,Uppsala,Sweden,,,,59.183333,17.666663,previously known as Tälje,Provincial,Jakob,Jacobus Israelis ,1277,1281,,,Latin,,,,,,,SDHK-nr: 1070,"Diplomatarium Suecanum, no. 692 [=I, 558-566]",https://sok.riksarkivet.se/sdhk SDHK-nr: 1070https://books.google.com/books?id=EnWyZimmPqsC,Reviewed ,Other,,,,
34,1299,1299x1301,,,Yes,"1299x1301 dating from Bertil Nilsson - email 22 March 2017); elsewhere 1296x1314, and possibly attributable to AB Nils Kettilsson",Uppsala,Uppsala,Uppsala,Sweden,D696,,,59.833333,17.666667,,Other,Nils Allesson,,1292,1305,,"""Modificatio et Declaratio"" of the 1279 Södertälje decrees",Latin,,,,,,,"SDHK, nr: 1822","Diplomatarium Suecanum, vol. II, nr. 1746  ",https://sok.riksarkivet.se/sdhk? - SDHK-nr: 1822,Reviewed ,Other,,,,
35,1319,1319,10,2,,,Bonn,Cologne,Cologne,Germany,D538,,,50.733889,7.099722,,Diocesan,Heinrich von Virneburg,,1304,1332,,"issued following diocesan synod in Bonn; addressed to deacons and others, not to suffragan bishops, and calls itself diocesan rather than provincial. ",,,,,,,,"Janssen, Synodalstatuten, S. 121-128",,,Not Started,Library Scan,,,,
36,1279,1279,,,,,Reading,,Canterbury,England,,,,51.454167,-0.973056,,Provincial,John Peckham,John Pecham,1279,1292,,,Latin,,,,,,,"Councils and Synods, ed Powicke and Cheney, vol 2, 834-51",,,Reviewed ,Data Capture,,,,
37,1298,1298,,,,,Novara,Novara,Milan,Italy,D166,,,45.45,8.61667,,Diocesan,Papiniano della Rovere,,1296,1300,,Second Part (Constitutiones),Latin,,,,,,,"Novara 1298, ed Briacca, pp214-271",,,Reviewed ,Hard Copy Scan,,,"Briacca, Papiniano della Rovere, Contributi ad una biografia, in Raccolta di Studi in memoria di Giovanni Soranzo, I, Milan 1968, pp60-128, at pp113-14",
38,1310,1310,,,,,Florence,Florence,[Holy See],Italy,D096,,,43.771667,11.253611,,Diocesan,Antonio d'Orso Biliotti,,1309,1321,,,Latin,,,,,,,"Trexler, Synodal Law, 225-89",,,Reviewed ,Hard Copy Scan,Yes,,,
39,1327,1327,,,,,Florence,Florence,[Holy See],Italy,D096,,,43.771667,11.253611,,Diocesan,,,,,,,,,,,,"ASF, Capitoli XI, ff. 1-19",,"Guasti & Gherardi, I Capitoli del comune di Firenze II (Florence, 1893), pp4-47",,https://books.google.com/books?id=NXxBAAAAcAAJ,Not Started,GoogleBooksWebDownload,Yes,,,
40,1306,1306,,,,,Fiesole,Fiesole,[Holy See],Italy,D094,,,43.8,11.3,,Diocesan,Antonio d'Orso Biliotti,,1301,1309,,,Latin,,,,,,,"Trexler, Synodal Law, 181-224",,,In Process,Hard Copy Scan,Yes,,,
41,1352,1352,,,,,Kammin,Kammin,[Holy See],Poland,D578,,,53.966667,14.783333,"also Cammin, Kamień Pomorski",Diocesan,John I,,1344,1372,,,Latin,,,,,,,"Wiegand, Kammin, pp245-271",,,Reviewed ,Library ScanHard Copy Scan,,,,
42,1500,1500,,,,,Kammin,Kammin,[Holy See],Poland,D578,,,53.966667,14.783333,,Diocesan,,,,,,,,,,,,,,"Wiegand, Kammin, 289-319",,,Not Started,Library Scan,,,,
43,1400,1398x1406,,,Yes,"dating from Hauck, Kirchengeschichte, V.i.146",Constance,Constance,Mainz,Switzerland,D555,,,47.663333,9.175278,,Diocesan,,,,,,,,,,,,,,"Brehm, Diözesan-Archiv von Schwaben, 22, pp44-48, 93-96, 141-144; 23 (1905): 30-32, 44-45 ","summary in Kehrberger, PSS, 82-86",http://digi.ub.uni-heidelberg.de/diglit/dioezarchivschwab,Not Started,,,,,
44,1423,1423,,,,,Constance,Constance,Mainz,Switzerland,D555,,,47.663333,9.175278,,Diocesan,,,,,,,,,Yes,,,,,"[summary in Kehrberger, PSS, 92-95]",,,,,,,,
45,1230,1230,,,,,Albi,Albi,Bourges,France,D381,,,43.928889,2.146389,,Diocesan,,,,,,,Latin,,,,,,,"Pontal, II, 8-33",,Facing page French translation,Reviewed ,GoogleBooksWebDownload,Yes,,,
46,1270,1254x1271,,,Yes,date range from episcopal reign; Lagger argues for 1267x1271 in Statuts synodaux d'Albi,Albi,Albi,Bourges,France,D381,,,43.928889,2.146389,,Diocesan,Bernard II de Combret,,1254,1271,,,Latin,,,,,,,"Pontal II, pp458-72",,,Reviewed ,GoogleBooksWebDownload,Yes,,,
47,1234,1234,,,,,Bordeaux,Bordeaux,Bordeaux,France,D365,P??,,44.837912,-0.579541,,Diocesan,Géraud de Malemort,,1227,1261,,some of the statutes applied to whole province (margin notes these as “est provinciale”),Latin,,,,,,,"Pontal, II, 44-105",,Facing page French translation,Reviewed ,GoogleBooksWebDownload,Yes,,,
48,1230,1225x1235,,,Yes,reworked and augmented by Hostiensis in 1249 ,Sisteron,Sisteron,Aix-en-Provence,France,D335,,,44.191111,5.947222,,Diocesan,,,,,,,Latin,,,,,,,"Pontal, II, 186-233",,,Reviewed ,GoogleBooksWebDownload,Yes,"Many passages copied directly from Synodal de l'Ouest (0904_Angers_1218c), as per Pontal edition",,
49,1252,1252,,,,,Nimes,Nimes,Narbonne,France,D409,,,43.837778,4.360833,,Diocesan,,,,,,,Latin,,,,,,,"Pontal, II, 264-453",,,Reviewed ,GoogleBooksWebDownload,Yes,,,
50,1240,1238x1245,,,Yes,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Guiard de Laon,Gui Ier de Laon,1238,1248,,,Latin,,,,,"Nijmegen, Universiteitsbibliotheek, MS 192, fol. 1r-14v",,"Avril, Statuts, IV, 19-65","Boeren, Anciens statuts, III, 131-167",Nijmegen MS not known to Avril; see transcription provided by CMA Caspers and update accordingly,Reviewed ,Hard Copy Scan,Yes,,,
51,1260,1260,10,1,,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Nicolas III de Fontaines,,1248,1249,,,Latin,,,,,"Nijmegen, Universiteitsbibliotheek, MS 192, fol. 14v-19v",,"Avril, Statuts, IV, 72-85","Boeren, Anciens statuts, III, 377-390",Nijmegen MS not known to Avril; see transcription provided by CMA Caspers and update accordingly,Reviewed ,Hard Copy Scan,Yes,,,
52,1273,1273,10,1,,"MS gives 1270, but sede vacante only fell in October in 1273",Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,sede vacante,,,,,"sede vacante, issued by chapter",Latin,,,,,,,"Avril, Statuts, IV, 93-94","Boeren, Anciens statuts, III, 391-92",,Reviewed ,Hard Copy Scan,Yes,,,
53,1274,1274,10,1,,Month/Day uncertain,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,,,,,,,Latin,,,,,,,"Avril, Statuts, IV, 94-95","Boeren, Anciens statuts, III, 392-93",,Reviewed ,Hard Copy Scan,Yes,,,
54,1275,1275,10,1,,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Enguerrand II de Créqui,,1274,1286,,,Latin,,,,,"Nijmegen, Universiteitsbibliotheek, MS 192, fol. 20r-22v",,"Avril, Statuts, IV, 95-99","Boeren, Anciens statuts, III, 393-98",Nijmegen MS not known to Avril; see transcription provided by CMA Caspers and update accordingly,Reviewed ,Hard Copy Scan,Yes,,,
55,1277,1277,10,1,,Month/Day uncertain,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Enguerrand II de Créqui,,1274,1286,,,Latin,,,,,,,"Avril, Statuts, IV, 100-103","Boeren, Anciens statuts, III, 398-402",,Reviewed ,Hard Copy Scan,Yes,,,
56,1278,1278,10,1,,Month/Day uncertain,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Enguerrand II de Créqui,,1274,1286,,,Latin,c. 17 contains vernacular,,,,,,"Avril, Statuts, IV, 103-108","Boeren, Anciens statuts, III, 402-407",,Reviewed ,Hard Copy Scan,Yes,,,
57,1282,1282,10,1,,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Enguerrand II de Créqui,,1274,1286,,,Latin,,,,,,,"Avril, Statuts, IV, 108-109","Boeren, Anciens statuts, III, 407-08",,Reviewed ,Hard Copy Scan,Yes,,,
58,1384,1380-1384,6,16,Yes,including material from 1380-1384,Prague,Prague,Prague,Czech Republic,D562,,,50.087136,14.420672,,Diocesan,,,,,,,Latin,,,,,,,Polc 220-28,,"Survives in two quite different redactions, which are printed alongside each other",Reviewed ,Hard Copy Scan,Yes,,,
59,1286,1286,10,1,,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,,,,,,,Latin,,,,,,,"Avril, Statuts, IV, 111-14","Boeren, Anciens statuts, III, 410-413",,Reviewed ,Hard Copy Scan,Yes,,,
60,1287,1287/1288,,,Yes,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Liber Synodalis,Guillaume d'Avesnes,,1286,1296,,,Latin,,,,,,,"Avril, Statuts, IV, 114-28","Boeren, Anciens statuts, IV, 131-58",,Reviewed ,Hard Copy Scan,Yes,,,
61,1289,1289,10,1,,,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,Guillaume d'Avesnes,,1286,1296,,"though issued as letters patent, they would seem to have been promulgated first at the autumn synod",Latin,,,,,,,"Avril, Statuts, IV, 128-30","Boeren, Anciens statuts, III, 413-15",,Reviewed ,Hard Copy Scan,Yes,,,
62,1307,1306x1309,,,Yes,"composed under Philippe de Marigny [see Avril, Codifications, 414] and remained in force until 16th; for the dating (to c. 1307), see Boeren, A propos des statuts synodaux, 209 n4. ",Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Liber Synodalis,Phlippe de Marigny,,1306,1309,,,Latin,,,,,"Tilburg, Universiteitsbibliotheek (olim Bibliotheek Theologische Faculteit), MS 15, 1r-27v",,"Avril, Statuts, IV, 137-80",,,Reviewed ,Hard Copy Scan,Yes,,,
63,1280,1280/1290,,,Yes,composed in either 1280 or 1290,Arras,Arras,Reims,France,D431,,,50.289722,2.780833,,Liber Synodalis,,,,,,,Latin,,,,,,,"Avril, Statuts, IV, 183-209",,"Livre synodal, containing many earlier statutes",Reviewed ,Hard Copy Scan,Yes,,,
64,1282,1280x1285,,,Yes,,Noyon,Noyon,Reims,France,D428,,,49.581667,2.999722,,Liber Synodalis,,,,,,,Latin,,,,,,,"Avril, Statuts, IV, 239-56",,,Reviewed ,Hard Copy Scan,Yes,"Frequently draws on 1284_Paris_1205c (statutes of Eudes de Sully); transcription adds passages from here, as indicated in edition.",,
65,1300,1274x1312,,,Yes,,Noyon,Noyon,Reims,France,D428,,,49.581667,2.999722,,Other,,,,,,Ordo synodi (Ceremonial) of the Synods of Noyon,Latin,,,,,,,"Avril, Statuts, IV, 276-78",,,Reviewed ,Hard Copy Scan,Yes,,,
66,1300,1300 (ca.),,,Yes,,Soissons,Soissons,Reims,France,D427,,,49.381667,3.323611,,Liber Synodalis,,,,,,,Latin,,,,,,,"Avril, Statuts, IV, 289-307",,,Reviewed ,Hard Copy Scan,Yes,,,
67,1300,1250x1350,,,Yes,late 13th/early 14th-c [but with material from second half of 13th-c] ,Tournai,Tournai,Reims,Belgium,D432,,,50.6,3.383333,,Liber Synodalis,,,,,,,Latin,,,,,,,"Avril, Statuts, IV, 323-55",,,Reviewed ,Hard Copy Scan,Yes,Missing text supplied from other statutes (mainly 0050_Cambrai_1240c)  as indicated in edition.,,
68,1262,1262,,,,,Bordeaux,Bordeaux,Bordeaux,France,D365,,,44.837912,-0.579541,,Diocesan,,,,,,,Latin,,,,,,,"Avril, Statuts, V, 22-24",,Labbe & Mansi dated these to 1263 and identified them as provincial canons.,Reviewed ,Hard Copy Scan,Yes,,,
69,1260,1260 (ca.),,,Yes,,Saintes,Saintes,Bordeaux,France,D374,,,45.7464,-0.6333,,Liber Synodalis,,,,,,,Latin,,,,,,,"Avril, Statuts, V, 37-54",,,Not Started,Hard Copy Scan,Yes,"Avril edition frequently refers to the corresponding passages in other texts, so leave this transcription aside until all of the source texts are done",,
70,1270,1270 (ca.),,,Yes,,Saintes,Saintes,Bordeaux,France,D374,,,45.7464,-0.6333,,Diocesan,,,,,,,,,,,,,,"Avril, Statuts, V, 55-62",,,Not Started,Hard Copy Scan,Yes,"Avril edition frequently refers to the corresponding passages in other texts, so leave this transcription aside until all of the source texts are done",,
71,1276,aft. 1276,,,Yes,,Saintes,Saintes,Bordeaux,France,,,,45.7464,-0.6333,,Legatine,,,,,,,,,,,,,,"Avril, Statuts, V, 63-65",,,Not Started,Hard Copy Scan,Yes,"Avril edition frequently refers to the corresponding passages in other texts, so leave this transcription aside until all of the source texts are done",,
73,1280,bef. 1280,,,Yes,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Diocesan,,,,,,,Latin,,,,,,,"Avril, Statuts, V,  86-101",,,Reviewed ,Hard Copy Scan,Yes,,,
74,1280,1280,,,,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Diocesan,Gautier de Bruges,,1279,1305,,,Latin,,,,,,,"Avril, Statuts, V, 107-15",,,Reviewed ,Hard Copy Scan,Yes,,,
75,1282,1280x1284,,,Yes,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Diocesan,Gautier de Bruges,,1279,1305,,,Latin,,,,,,,"Avril, Statuts, V, 116-17",,,Reviewed ,Hard Copy Scan,Yes,,,
76,1284,1284,,,,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Diocesan,Gautier de Bruges,,1279,1305,,,Latin,,,,,,,"Avril, Statuts, V, 118-121",,,Reviewed ,Hard Copy Scan,Yes,,,
77,1304,1304,,,,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Other,Gautier de Bruges,,1279,1305,,,Latin,,,,,,,"Avril, Statuts, V, 122-31",,,Reviewed ,Hard Copy Scan,Yes,,,
78,1308,1308x1309,,,Yes,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Diocesan,Arnaud d’Aux,,1306,1312,,,Latin,,,,,,,"Avril, Statuts, V, 135-37",,,Reviewed ,Hard Copy Scan,Yes,,,
79,1310,1310,,,,,Poitiers,Poitiers,Bordeaux,France,D371,,,46.581945,0.336112,,Diocesan,Arnaud d’Aux,,1306,1312,,,Latin,,,,,,,"Avril, Statuts, V, 138-40",,,Reviewed ,Hard Copy Scan,Yes,,,
80,1283,1283,4,29,,,Dax,Dax,Auch,France,D353,,,43.7072,-1.0553,,Diocesan,Arnaud de Villa,,,,,,Latin,,,,,,,"Avril, Statuts, V, 141-69;","Degert, “Constitutions synodales,” Bulletin, 23, no. 2: 55-85",,Reviewed ,Hard Copy Scan,Yes,Missing text supplied from other statutes (0047_Bordeaux_1234 & 0049_Nimes_1252)  as indicated in edition.,,
81,1278,1277x1279,,,Yes,,[Paris],Paris,Sens,France,D456,,,48.24754,3.287659,,Diocesan,Etienne Tempier,,1268,1279,,,Latin,,,,,,,"Avril, Statuts, V, 176-79",,,Reviewed ,Hard Copy Scan,Yes,,,
82,1248,1248,,,,,Rouen,Rouen,Rouen,France,,,,49.443889,1.103333,,Provincial,Eudes Rigaud,,,,,,Latin,,,,,,,"Avril, Statuts, V, 189-90",,,Reviewed ,Hard Copy Scan,Yes,,,
83,1300,1300 (ca.),,,Yes,,Bayeux,Bayeux,Rouen,France,D435,,,49.279445,-0.702778,,Diocesan,,,,,,,,,,,,,,"Avril, Statuts, V, 195-208",,,Not Started,Hard Copy Scan,Yes,"Avril edition throughout refers to the corresponding passages in other texts, so leave this transcription aside until all of the source texts are done",,
84,1275,1250x1300,,,Yes,,Coutances,Coutances,Rouen,France,D436,,,49.046111,-1.443889,,Diocesan,,,,,,,Latin,,,,,,,"Avril, Statuts, V, 214-19",,,Reviewed ,Hard Copy Scan,Yes,,,
85,1294,1294,4,27,,,Coutances,Coutances,Rouen,France,D436,,,49.046111,-1.443889,,Diocesan,Robert d’Harcourt,,,,,,Latin,,,,,,,"Avril, Statuts, V, 220-22",,,Reviewed ,Hard Copy Scan,Yes,,,
86,1300,1300,4,19,,,Coutances,Coutances,Rouen,France,D436,,,49.046111,-1.443889,,Diocesan,,,,,,,Latin,,,,,,,"Avril, Statuts, V, 224-25",,,Reviewed ,Hard Copy Scan,Yes,,,
87,1366,1366,,,,,Prague,Prague,Prague,Czech Republic,D562,,,50.087136,14.420672,,Diocesan,,,,,,,,,,,,,,"Hofler, Concilia Pragensia, 10-13",,https://books.google.com/books?id=QF10AAAAMAAJ,Completed,GoogleBooksWebDownload,,"is this the same as Polc, 193-94?",,
88,1335,1329x1342,,,Yes,,Prague,Prague,Mainz,Czech Republic,D562,,,50.087136,14.420672,,Diocesan,John IV of Dražice,Jan IV z Dražic,1301,1343,,,Latin,,,,,,,"Polc, 105-106",,,In Process,Hard Copy Scan,Yes,,,
